33.4,14400,39,479960
36.05,5300,17,191065
38.9,14200,35,552380
42,18100,83,760200
39.75,583900,1995,24720835
38.7,260000,960,10164380
36.85,128300,546,4731700
39.75,205000,535,7991300
41.5,627900,676,26863780
38.2,239900,600,9623915
35.85,151000,484,5524470
38.3,65700,309,2494005
37.5,56400,297,2142725
35.25,89700,330,3216870
35.95,72100,334,2625560
34.6,66300,271,2365255
33.7,45500,209,1568810
36.35,73400,233,2534480
39.15,136200,516,5128365
39.7,162400,556,6489195
36.6,253500,683,10194315
39.5,71600,224,2746300
37.35,80300,288,3088135
35.4,101000,318,3548505
34.95,51700,227,1883160
33.45,67700,250,2259535
30.8,56200,208,1807045
28.35,39500,154,1134740
28.5,85400,344,2297315
27.65,46051,198,1293537
29.8,48260,193,1375808
29.8,30201,158,901460
30.35,108785,268,3337161
31.6,23800,130,748232
31.9,30101,147,950191
31.15,31600,94,977882
30.55,67699,139,2102930
31,23300,109,733899
33,19025,80,605046
35.5,29000,160,1011724
37.25,34774,178,1262346
39.55,65501,285,2578507
39,96177,403,3899090
35.9,24623,87,889861
34.85,67350,226,2308713
33.9,24844,170,834071
36.6,39725,224,1430190
37.5,43300,252,1643717
37.35,36700,226,1346413
36.3,17900,101,663735
35,23175,150,830492
34.05,25677,167,844116
34.45,11975,94,411508
34.2,27600,145,943640
32.95,22150,125,726726
32.6,19850,116,655962
31.7,22125,141,686742
34.2,23030,111,763784
35.6,24225,115,846563
35.25,36190,192,1268455
35,61220,192,2137920
35.95,26750,97,954957
36.5,16310,110,594068
35.15,32890,202,1164396
35,20500,117,722305
36.3,15725,64,559192
35.55,8930,50,321534
35.6,38415,148,1336583
35.4,22991,112,808514
36.25,42300,186,1483394
35.5,18895,160,666332
36.75,23360,128,852244
37.1,19151,122,718862
37,22070,139,816628
36.15,17150,95,617282
36.15,100,1,3615
34.5,17250,86,604966
35.2,12825,74,448610
34.4,43975,188,1544248
34.5,10100,102,349518
35.2,8627,58,303221
35,22400,126,782963
36,19419,115,699068
35.3,9031,62,319673
35.05,14803,79,521668
35.5,16319,82,585158
34.9,21820,100,765077
35.55,21750,133,774220
35.85,18000,102,640737
35.4,17550,91,622627
32.6,36500,182,1247232
32.95,52200,302,1693766
32.4,29585,133,975655
33.25,8725,63,288481
33.45,40900,138,1360530
34.1,37600,131,1280407
34,18950,78,647115
33.5,6350,25,214207
33.2,9700,80,324121
32.8,13025,87,430509
33.05,8400,38,277054
32.75,5875,54,193045
32.85,5060,45,166575
32.7,7100,44,232065
33.2,16800,83,547741
33.6,9920,60,333392
33.4,8126,63,272898
33.25,5925,39,195075
34.35,27250,108,920383
33.2,17485,102,592610
33.8,20350,67,680545
33.4,11930,65,399929
34.35,31250,83,1065975
37.05,45700,110,1674337
40,80480,437,3096068
39,186461,950,7770518
39.55,123709,618,4879383
42.25,175717,650,7394658
40.8,64420,400,2660021
41.65,204420,869,8375796
38.4,53655,217,2073357
40.85,156225,719,6062385
40,37435,175,1488887
39.95,49345,203,1947977
39.95,41246,299,1630248
39.55,22595,140,887392
39.15,15795,91,617848
39,29355,89,1143201
38.9,26225,130,1018195
37.3,37670,207,1427690
38.35,12225,77,462170
37.65,20425,158,769654
37.95,17400,88,662070
37.9,10770,60,405406
37.5,13891,120,520109
37.25,7800,52,291537
38,45599,78,1720860
37.9,8150,41,309017
37.9,19605,97,737904
38,12740,145,481886
37.9,23000,116,871872
38.45,32751,165,1254933
38,8936,65,339311
37.65,19095,153,718059
38.1,31000,137,1183337
37.85,14400,61,547325
38.25,8950,57,338925
37.9,21375,132,808467
38,14950,90,570765
38.2,7950,45,300845
39.55,21640,148,853443
40,71051,269,2850249
40,54289,323,2170902
40,114300,575,4648313
40,54475,267,2190480
39.85,52515,217,2092640
38.9,41120,152,1596352
37.65,74620,305,2792440
36.15,31800,148,1153715
36,41151,198,1498620
36.65,12855,62,469731
36.95,22650,81,833332
35.15,45956,234,1616694
36.75,9550,72,346905
36.55,19210,115,690418
37.35,15576,105,573219
36.6,14071,87,511486
36.05,14812,104,532782
36.2,13900,80,503295
36.6,13901,64,505078
36,5000,49,179820
34.85,13050,89,457437
35.4,5570,50,197722
35.15,6450,56,226787
33.75,7390,60,249032
33.4,10850,74,362254
31.7,18190,131,582184
34.2,36790,84,1256519
36.15,77003,359,2703266
36.3,26275,173,958877
38.35,133750,313,5102101
37.25,50805,257,1917482
37.8,24490,133,914389
37.45,35830,159,1334294
37.95,15205,92,571629
38.35,15311,111,591325
38.5,23896,119,915111
38.25,6000,50,228545
38.25,7722,63,292400
38.2,33425,93,1275680
38.6,38525,166,1478752
39.1,84096,215,3270069
39.5,65726,291,2589343
39.1,33810,182,1323106
39.45,14751,104,579248
39.4,43283,175,1691092
39,39275,212,1525658
38.8,12150,69,470492
39.3,37950,171,1482282
39.9,66612,233,2653890
43.05,129207,362,5513709
42,67615,433,2837068
44.95,167871,795,7425288
48.5,238182,1096,11228039
48.35,271205,1471,13439471
46.75,59343,497,2786093
46.4,73904,531,3406372
47.35,64826,510,3065343
45.2,82397,491,3811985
44.7,33588,263,1511257
44.6,35489,237,1586607
43.95,79330,563,3475624
43.55,28049,185,1236491
44.35,74876,413,3298077
44.75,61325,366,2739246
44.7,25832,214,1162583
45.5,67535,294,3076460
49.1,131575,326,6442972
47.4,182867,956,8983378
47.35,83943,577,4022462
46.1,64643,376,3071524
44.65,141730,1018,6367201
45.85,34490,269,1554905
45.05,43962,267,1988243
45.4,23730,215,1072256
45.05,36725,221,1649668
45.4,74732,334,3354623
44.1,69150,357,3071913
45,21930,160,982186
44.95,17174,163,777106
45.3,33291,200,1502446
45.75,33699,201,1544429
46,31552,207,1441793
47,98556,405,4580954
46.55,41479,308,1949963
46.3,34115,224,1577728
46.65,27513,262,1280187
46.05,13860,102,642419
46.1,21227,156,983248
46.1,20506,228,947643
46.15,42830,345,1980734
46,25991,217,1199003
46.25,16376,148,755562
47.6,49451,354,2366945
47.4,40435,299,1949820
47.85,41090,286,1963976
48.8,172141,606,8423906
48.5,154365,810,7531671
49.85,257250,940,12832370
53.8,124209,295,6655981
49.5,219056,974,11103311
45.55,158886,622,7289199
43.35,245050,848,11079881
43.5,59703,429,2623513
43,153465,809,6668952
41.35,102969,639,4379021
